Item Name,Description,Inventory Type,Category,Unit,Qty,Cost,Selling Price,Value Tier
Aurea Volume Pants,Oversized volume pants with a sculptural silhouette and relaxed fit.,Finished Product,Volume & Cargo Pants,Pcs,0,245,560,Edition
Relaxed Volume Pants,"Easy-wearing wide-leg volume pants with a casual, laid-back feel.",Finished Product,Volume & Cargo Pants,Pcs,0,245,570,Edition
Atlas Cargo Jeans,Heavy-duty cargo jeans with utility pockets and a rugged aesthetic.,Finished Product,Volume & Cargo Pants,Pcs,0,245,560,Edition
Forge Cargo Shorts,"Durable cargo shorts with deep utility pockets and a rugged, workwear finish.",Finished Product,Shorts,Pcs,0,200,510,Edition
Column Tee,A structured textured tee with clean vertical column detailing.,Finished Product,Textured Tees & Polo,Pcs,0,250,550,Edition
Horizon Overshirt,"A relaxed open-weave overshirt with a clean, horizon-inspired finish.",Finished Product,Overshirts,Pcs,0,250,660,Edition
Strata Overshirt,"A textured, layered-look overshirt with a structured woven construction.",Finished Product,Overshirts,Pcs,0,250,660,Edition
Mesline,A textured jersey tee with a subtle mesh-line surface for added depth.,Finished Product,Textured Tees & Polo,Pcs,0,250,520,Edition
Niore Crop,"A cropped woven top with a clean, architectural silhouette.",Finished Product,Female Tops,Pcs,0,200,570,Edition
Vierra Crop,A feminine cropped top with a soft drape and delicate finishing.,Finished Product,Female Tops,Pcs,0,200,580,Edition
Flow Tailored Pants,Wide-leg tailored pants with a fluid drape and effortless ease.,Finished Product,Trousers & Tailored Pants,Pcs,0,360,510,Edition
Axis Cargo Jeans,Slim-tapered cargo jeans blending streetwear edge with functional design.,Finished Product,Volume & Cargo Pants,Pcs,0,245,570,Edition
Vierra Skirt,"A flowing woven skirt with a clean waistband and feminine, easy silhouette.",Finished Product,Skirts,Pcs,0,200,550,Edition
Spire Polo,A refined polo with a structured collar and premium knit construction.,Finished Product,Textured Tees & Polo,Pcs,0,250,550,Edition
Aegis Tank,A sleek knit tank with a shield-inspired design detail and clean lines.,Finished Product,Tanks,Pcs,0,117,400,Edition
Loma Tank,"A soft, minimal knit tank with a clean, nature-inspired aesthetic.",Finished Product,Tanks,Pcs,0,117,400,Edition
Edge Tank,"A sharp, streamlined knit tank with an edge-forward design attitude.",Finished Product,Tanks,Pcs,0,117,400,Edition
Verde Crop,"A fresh cropped top in earthy green tones with a relaxed, effortless fit.",Finished Product,Female Tops,Pcs,0,200,570,Edition
Pakeru Spek,A handcrafted artisan woven shirt celebrating traditional textile techniques.,Finished Product,Artisan Woven,Pcs,0,236,520,Edition
Pakeru Yvan,An artisan woven piece with intricate pattern work and cultural depth.,Finished Product,Artisan Woven,Pcs,0,236,520,Edition
Signature Essential Linen,"A foundational long-sleeve linen shirt in a clean, essential cut.",Finished Product,Linen Shirts — Long Sleeve,Pcs,0,340,660,Edition
Pakeru Livity,A specialist handwoven garment embodying Pakeru's ethos of craft and identity.,Finished Product,Artisan Woven,Pcs,0,236,520,Edition
Pakeru Aegis,"A signature tee with a protective, shield-inspired graphic and premium jersey build.",Finished Product,Signature T-Shirts,Pcs,0,250,450,Edition
Pakeru Loma,"A soft premium tee with understated, nature-inspired graphic detailing.",Finished Product,Signature T-Shirts,Pcs,0,250,450,Edition
Pakeru Edge,"A bold, edge-forward signature tee in premium jersey construction.",Finished Product,Signature T-Shirts,Pcs,0,250,450,Edition
Essential Formal,A meticulously tailored formal shirt in premium suiting fabric for elevated occasions.,Finished Product,Essential Formal,Pcs,0,300,570,Edition
